"REPOSITORY_NM","REPOSITORY_NO","FUNC_ID","FUNC_SEQ","SORT","COL_NAME","DISP_NAME","KEY_FLG","UPDATE_FLG","SEARCH_FLG","GROUP_NAME","CR_FLG","PATTERN_ID","DATA_TYPE","INPUT_SIZE","DISP_SIZE","TEXT_ROWS","REQUIRED_FLG","COMPONENT","SIKIBETU_CODE","CREATED_DATE","CREATED_BY","CREATED_PRG_NM","UPDATED_DATE","UPDATED_BY","UPDATED_PRG_NM"
"Woody_main_2025-12-25","0","DMTT_S_SO_LIST","0","0","I_SONO","Sale Order No","1","1","0","","","TEXT","nvarchar","20","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","0","I_ASSIGNTO","Assign To","","1","1","","","TEXT","varchar","20","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","1","I_SHIP_INST","Shipment Instruction No.","1","","0","","","TEXT","nvarchar","20","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","2","INTERNAL_NO","","1","","0","","","TEXT","nvarchar","20","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","3","I_ITEMCODE","Part ID","","","0","","","TEXT","nvarchar","25","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","4","I_DESC","Part Name","","","0","","","TEXT","nvarchar","50","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","5","I_SHIP_QTY","Qty","","","0","","","INT","numeric","10","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","6","I_PCS_BOX","Box QTY","","","0","","","INT","numeric","6","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","7","I_LOTNO_FR","Lot From","","","0","","","TEXT","nvarchar","25","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","8","I_LOTNO_TO","Lot To","","","0","","","TEXT","nvarchar","25","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","9","I_LOCCD","Location","","","0","","","TEXT","varchar","10","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","10","I_PLTNO","Pallet Tag No.","","","0","","","TEXT","varchar","20","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","11","I_SHIP_LNNO","Line No.","","","0","","","INT","numeric","20","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","12","SHIP_LIST","Shipment List","","","1","","","TEXT","varchar","500","200","","","6","","","","","","",""
