"REPOSITORY_NM","REPOSITORY_NO","FUNC_ID","FUNC_SEQ","FUNC_KBN","USER_CODE","SEQ","KEY_CODE","NAME","OPTN","VALUE","VALUE_TO","FLAG","NOTE","CREATED_DATE","CREATED_BY","CREATED_PRG_NM","UPDATED_DATE","UPDATED_BY","UPDATED_PRG_NM"
"Woody_main_2025-12-25","0","DMTT_S_SO_LIST","0","LIST","TLN_GEN_ALL","0","View","","VIEW","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_S_SO_LIST","0","LIST","TLN_GEN_ALL","1","I_SONO","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","1","I_ASSIGNTO","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","2","I_SHIP_INST","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","3","I_ITEMCODE","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","4","I_DESC","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","5","I_SHIP_QTY","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","6","I_PCS_BOX","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","7","I_LOTNO_FR","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","dev1","8","I_LOTNO_TO","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","0","I_SHIP_INST","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","1","I_ITEMCODE","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","2","I_DESC","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","3","I_SHIP_QTY","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","4","I_PCS_BOX","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","5","I_LOTNO_FR","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","LIST","TLN_GEN_ALL","6","I_LOTNO_TO","","ITEM","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","SORT","TLN_GEN_ALL","0","I_SHIP_INST","","ASC","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_PRESS_ASSIGN_SHIP_JOB","1","SORT","TLN_GEN_ALL","1","I_SHIP_LNNO","","ASC","","","","","","","","","",""
