"REPOSITORY_NM","REPOSITORY_NO","SIKIBETU_CODE","KEY_CODE","SIKIBETU_NM","DSP1","DSP2","DSP3","DSP4","DSP5","DSP_NO1","DSP_NO2","DSP_NO3","DSP_NO4","DSP_NO5","DSP_SORT1","DSP_SORT2","DSP_SORT3","NOTE","CREATED_DATE","CREATED_BY","CREATED_PRG_NM","UPDATED_DATE","UPDATED_BY","UPDATED_PRG_NM","MODIFY_COUNT"
"Woody_main_2025-12-25","0","DMTT_G_OS_COMFIRM","0"," SO Confirmation","Not Confirmed","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_OS_COMFIRM","1"," SO Confirmation","Confirmed","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_PR_PATTERN","0","Quotation Pattern","3 Months","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_PR_PATTERN","1","Quotation Pattern","4 Months","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_QT_APPROVE","0","Quotation Approve Status","Unapproved","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_QT_APPROVE","1","Quotation Approve Status","Approved","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_SHIP_INT_STATUS","0","Shipment Instruction Status","Pending","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_SHIP_INT_STATUS","1","Shipment Instruction Status","Picking","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_SHIP_INT_STATUS","2","Shipment Instruction Status","Completed","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_G_SHIP_INT_STATUS","3","Shipment Instruction Status","Confirmed","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_CHK_BOX","1",""," ","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_CURRENCY","0","Currency","THB","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_CURRENCY","1","Currency","USD","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_CURRENCY","2","Currency","JPY","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_SO_STATUS","00","SO Status","Open","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_SO_STATUS","01","SO Status","Delivered","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_SO_STATUS","02","SO Status","Closed","","","","","0","0","0","0","0","","","","","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_T_SO_STATUS","03","SO Status","Cancelled","","","","","0","0","0","0","0","","","","","","","","","","",""
