"REPOSITORY_NM","REPOSITORY_NO","SAIBAN_SIKIBETU_CODE","SEQ_NO","KIND","VALUE","CREATED_DATE","CREATED_BY","CREATED_PRG_NM","UPDATED_DATE","UPDATED_BY","UPDATED_PRG_NM","MODIFY_COUNT"
"Woody_main_2025-12-25","0","DMTT_N_IV","0","1","IV","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_IV","1","2","%tY%tm%td","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_IV","2","3","5","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_IV_IN","0","2","%tY%tm%td","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_IV_IN","1","3","8","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_QT","0","1","QUT","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_QT","1","2","%tY%tm","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_QT","2","3","3","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_QT_IN","0","2","%tY%tm%td","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_QT_IN","1","3","5","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_SO","0","1","SOP","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_SO","1","2","%tY%tm","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_SO","2","3","5","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_SO_IN","0","2","%tY%tm%td","","","","","","",""
"Woody_main_2025-12-25","0","DMTT_N_SO_IN","1","3","5","","","","","","",""
